property_id,property_index,structure_type,property_sub_type,prop_type_clean,gla_sqft,bedrooms_main,bedrooms_additional,bedrooms_total,bathrooms_full,bathrooms_half,bathrooms_equivalent,close_price,close_date,address,city,state_province,postal_code,latitude,longitude,lot_size_sqft,year_built,basement_type,main_level_finished_area,levels,heating,cooling,has_missing_bed_data,bedroom_imputation_method,has_missing_bath_data,has_missing_prop_type,prop_type_mapping_method,has_missing_date_data,subject_id
59,59,"Condo Townhouse, 2-Storey ",Condo Townhouse,,1300.0,,,,,,,331000.0,,912 OAKVIEW Street ,Kingston ,Ontario,K7M 6V6,44.2486,-76.5875,,,"Full, Unfinished ",,2-Storey ,Forced Air ,,False,,False,False,,False,0
60,60,Condo Townhouse,Condo Townhouse,,1100.0,,,,,,,315000.0,,995 Amberdale Cres ,Kingston ,Ontario,K7M 6X6,44.2494,-76.5892,,40.0,Part Fin ,,2-Storey ,Forced Air ,,False,,False,False,,False,0
61,61,"Condo Townhouse, 2-Storey ",Condo Townhouse,,1100.0,,,,,,,315000.0,,995 Amberdale Crescent ,Kingston ,Ontario,K7M 6X6,44.2494,-76.5892,,,Partially Finished ,,2-Storey ,Forced Air ,,False,,False,False,,False,0
62,62,Detached,Detached,,1750.0,,,,,,,589000.0,,616 Pimlico Pl ,Kingston ,Ontario,K7M 5T8,44.241,-76.5864,9000.0,,"Finished, Full ",,Sidesplit 3 ,Forced Air ,Central Air ,False,,False,False,,False,0
63,63,"Detached, Sidesplit 3 ",Detached,,1750.0,,,,,,,589000.0,,616 Pimlico Place ,Kingston ,Ontario,K7M 5T8,44.241,-76.5864,9000.0,,"Finished, Full ",,Sidesplit 3 ,Forced Air ,Central Air ,False,,False,False,,False,0
64,64,Detached,Detached,,1335.0,,,,,,,637000.0,,792 Safari Dr ,Kingston ,Ontario,K7M 6X9,44.2516,-76.612,6600.0,40.0,Finished ,,Sidesplit 3 ,Forced Air ,Central Air ,False,,False,False,,False,0
65,65,Detached,Detached,,1300.0,,,,,,,505000.0,,667 Truedell Rd ,Kingston ,Ontario,K7M 6W6,44.2451,-76.5793,6500.0,40.0,Finished ,,2-Storey ,Forced Air ,,False,,False,False,,False,0
66,66,"Semi-Detached, Bungalow-Raised ",Semi-Detached,,1750.0,,,,,,,550000.0,,995 Waterbury Crescent ,Kingston ,Ontario,K7M 8V5,44.2309,-76.59,3480.0,,"Finished, Full ",,Bungalow-Raised ,Forced Air ,Central Air ,False,,False,False,,False,0
67,67,"Condo Apartment, Apartment ",Condo Apartment,,1100.0,,,,,,,394500.0,,Unit 305 - 675 Davis Drive W ,Kingston ,Ontario,K7M 8L5,44.2548,-76.5668,,,,,Apartment ,Baseboard ,Window Unit(s) ,False,,False,False,,False,0
68,68,"Condo Apartment, Bachelor/Studio ",Condo Apartment,,250.0,,,,,,,187000.0,,Unit 101 - 1010 Pembridge Crescent ,Kingston ,Ontario,K7P 1A3,44.2507,-76.5851,,,,,Bachelor/Studio ,Baseboard ,Wall Unit(s) ,False,,False,False,,False,0
69,69,"Condo Apartment, Apartment ",Condo Apartment,,1100.0,,,,,,,360000.0,,Unit 309 - 675 Davis Drive ,Kingston ,Ontario,K7M 8L5,44.2548,-76.5668,,,,,Apartment ,Baseboard ,Wall Unit(s) ,False,,False,False,,False,0
70,70,Detached,Detached,,2814.0,,,,,,,686500.0,,530 Canterbury Cres ,Kingston ,Ontario,K7M 6X1,44.2354,-76.5833,9200.0,,Finished ,,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
71,71,"Detached, 2-Storey ",Detached,,2724.0,,,,,,,686500.0,,530 Canterbury Crescent ,Kingston ,Ontario,K7M 6X1,44.2354,-76.5833,9200.0,,Finished ,,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
72,72,Detached,Detached,,900.0,,,,,,,529000.0,,490 Kirkwood Rd ,Kingston ,Ontario,K7M 3X2,44.2353,-76.5729,7590.0,,"Finished, Full ",,Bungalow-Raised ,Forced Air ,Central Air ,False,,False,False,,False,0
73,73,Detached,Detached,,1750.0,,,,,,,585000.0,,829 Larchwood Cres ,Kingston ,Ontario,K7P 2P8,44.2656,-76.5826,4888.0,40.0,Finished ,,Sidesplit 3 ,Forced Air ,Central Air ,False,,False,False,,False,0
