property_id,subject_id,orderID,structure_type,property_sub_type,prop_type_clean,gla_sqft,bedrooms_main,bedrooms_additional,bedrooms_total,bathrooms_full,bathrooms_half,bathrooms_equivalent,close_price,close_date,address,city,state_province,postal_code,latitude,longitude,lot_size_sqft,year_built,basement_type,main_level_finished_area,levels,heating,cooling,has_missing_bed_data,bedroom_imputation_method,has_missing_bath_data,has_missing_prop_type,prop_type_mapping_method,has_missing_date_data
9582,84,4758996,Row/Townhouse,Row/Townhouse,Townhouse,1269.0,3,0,3,2,1,2.5,390000.0,2025-01-22,Unit 1809 - 2445 Kingsland Road SE ,Airdrie ,Alberta,T4A 0B8,51.2698,-113.988,1963.0,2007.0,"Full, Unfinished ",,2 Storey ,"Forced Air, Natural Gas ",Central Air ,False,,False,False,townhouse-indicator,False
9583,84,4758996,Semi Detached (Half Duplex),Semi Detached (Half Duplex),Semi-Detached,1577.0,3,0,3,3,0,3.0,533900.0,2025-01-23,2748 Kings Heights Gate SE ,Airdrie ,Alberta,T4A 0K2,51.2686,-113.981,2974.0,2017.0,"Full, Unfinished ",,"2 Storey, Side by Sid ",,,False,,False,False,semi-detached-indicator,False
9584,84,4758996,Detached,Detached,Detached,1084.0,5,0,5,3,0,3.0,550000.0,2025-01-24,596 Morningside Park SW ,Airdrie ,Alberta,T4B 0E1,51.2629,-114.011,4051.0,2007.0,Full ,,Bi-Level ,,,False,,False,False,detached-indicator,False
9585,84,4758996,Semi Detached (Half Duplex),Semi Detached (Half Duplex),Semi-Detached,1788.0,3,0,3,2,1,2.5,590000.0,2025-01-27,603 Kingsmere Way SE ,Airdrie ,Alberta,T4A 0X9,51.2575,-113.987,3125.0,2019.0,"Full, Unfinished ",741.0,"2 Storey, Attached-Si ","Forced Air, Natural Gas ",Central Air ,False,,False,False,semi-detached-indicator,False
9586,84,4758996,Detached,Detached,Detached,2192.0,3,0,3,2,1,2.5,700000.0,2025-01-27,685 Coopers Drive SW ,Airdrie ,Alberta,T4B 2R9,51.2683,-114.016,4725.0,2006.0,"Full, Unfinished ",961.0,2 Storey ,"High Efficiency, Forced Air ",Central Air ,False,,False,False,detached-indicator,False
9587,84,4758996,Detached,Detached,Detached,1885.0,3,0,3,2,1,2.5,645000.0,2025-01-28,151 Ravenscroft Green SE ,Airdrie ,Alberta,T4A 0H1,51.2652,-113.977,4161.0,2009.0,"Full, Unfinished ",813.0,2 Storey ,Central ,,False,,False,False,detached-indicator,False
9588,84,4758996,Apartment,Apartment,Apartment,1170.0,2,0,2,2,0,2.0,455000.0,2025-01-30,Unit 1310 - 10 Market Boulevard SE ,Airdrie ,Alberta,T4A 0A8,51.2687,-113.992,1260.0,2016.0,,1170.0,Apartment ,In Floor ,Central Air ,False,,False,False,apartment-indicator,False
9589,84,4758996,Row/Townhouse,Row/Townhouse,Townhouse,1337.0,3,0,3,1,1,1.5,385000.0,2025-01-30,Unit 102 - 800 Yankee Valley Boulevard SE ,Airdrie ,Alberta,T4A 2L3,51.2712,-113.994,1743.0,2006.0,"Full, Unfinished ",618.0,2 Storey ,Forced Air ,,False,,False,False,townhouse-indicator,False
9590,84,4758996,Semi Detached (Half Duplex),Semi Detached (Half Duplex),Semi-Detached,1465.0,4,0,4,3,1,3.5,590000.0,2025-01-31,30 Lawrence Green SE ,Airdrie ,Alberta,T4A 3M8,51.2574,-113.977,4628.0,2021.0,"Full, Separate/Exterior Entry ",727.0,"2 Storey, Attached-Si ",Forced Air ,Central Air ,False,,False,False,semi-detached-indicator,False
9591,84,4758996,Detached,Detached,Detached,1002.0,2,0,2,1,0,1.0,299900.0,2025-02-02,9 Big Hill Way ,Airdrie ,Alberta,T4A 1M7,51.2785,-113.999,4004.0,1978.0,,1002.0,Mobile Home ,"Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False
