property_id,subject_id,orderID,structure_type,property_sub_type,prop_type_clean,gla_sqft,bedrooms_main,bedrooms_additional,bedrooms_total,bathrooms_full,bathrooms_half,bathrooms_equivalent,close_price,close_date,address,city,state_province,postal_code,latitude,longitude,lot_size_sqft,year_built,basement_type,main_level_finished_area,levels,heating,cooling,has_missing_bed_data,bedroom_imputation_method,has_missing_bath_data,has_missing_prop_type,prop_type_mapping_method,has_missing_date_data
3185,26,4757939,Detached,Detached,Detached,1094.0,5,0,5,2,0,2.0,680000.0,2025-01-07,2111 Vista Crescent NE ,Calgary ,Alberta,T2E 6H9,51.0715,-114.019,6210.0,1967.0,"Full, Separate/Exterior Entry ",1093.0,Bungalow ,"Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False
3188,26,4757939,Detached,Detached,Detached,806.0,2,0,2,1,0,1.0,558000.0,2025-01-13,629 20 Avenue NE ,Calgary ,Alberta,T2E 1R6,51.0705,-114.049,4682.0,1949.0,Full ,,Bungalow ,"Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False
3194,26,4757939,Row/Townhouse,Row/Townhouse,Townhouse,1268.0,3,0,3,3,1,3.5,535000.0,2025-01-17,Unit 2 - 407 19 Avenue NE ,Calgary ,Alberta,T2E 1P4,51.0695,-114.056,,2008.0,Full ,625.0,2 Storey ,"Fireplace(s), Forced Air ",,False,,False,False,townhouse-indicator,False
3199,26,4757939,Apartment,Apartment,Apartment,1343.0,2,0,2,2,0,2.0,283000.0,2025-01-24,Unit 226 - 1920 14 Avenue NE ,Calgary ,Alberta,T2E 8V4,51.0661,-114.015,,1999.0,,1342.0,Apartment ,"In Floor, Natural Gas ",,False,,False,False,apartment-indicator,False
3201,26,4757939,Detached,Detached,Detached,1064.0,5,0,5,2,0,2.0,699900.0,2025-01-25,928 16 Street NE ,Calgary ,Alberta,T2E 4S8,51.0605,-114.021,6006.0,1959.0,"Full, Separate/Exterior Entry ",1064.0,Bungalow ,"Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False
3209,26,4757939,Detached,Detached,Detached,974.0,5,0,5,2,0,2.0,667500.0,2025-01-30,156 Van Horne Crescent NE ,Calgary ,Alberta,T2E 6H1,51.0692,-114.018,5209.0,1964.0,Full ,974.0,Bungalow ,"High Efficiency, Fireplace(s), Forced Air ",,False,,False,False,detached-indicator,False
3215,26,4757939,Semi Detached (Half Duplex),Semi Detached (Half Duplex),Semi-Detached,1749.0,4,0,4,4,0,4.0,729888.0,2025-02-01,622 23 Avenue NE ,Calgary ,Alberta,T2E 1W4,51.0735,-114.049,3100.0,2006.0,Full ,,"2 Storey, Side by Sid ",,Central Air ,False,,False,False,semi-detached-indicator,False
3217,26,4757939,Apartment,Apartment,Apartment,823.0,2,0,2,2,0,2.0,230000.0,2025-02-03,Unit 230 - 1920 14 Avenue NE ,Calgary ,Alberta,T2E 8V4,51.0661,-114.015,,1999.0,,822.0,Apartment-Low-Rise ( ,"In Floor, Natural Gas ",,False,,False,False,apartment-indicator,False
3220,26,4757939,Detached,Detached,Detached,992.0,5,0,5,2,0,2.0,655000.0,2025-02-04,903 18 Street NE ,Calgary ,Alberta,T2E 4V6,51.0598,-114.016,6081.0,1962.0,Full ,992.0,Bungalow ,"Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False
3228,26,4757939,Row/Townhouse,Row/Townhouse,Townhouse,1390.0,3,0,3,2,1,2.5,486000.0,2025-02-06,252 Regal Park NE ,Calgary ,Alberta,T2E 0S6,51.0608,-114.034,,2000.0,,693.0,2 Storey ,Forced Air ,,False,,False,False,townhouse-indicator,False
3238,26,4757939,Apartment,Apartment,Apartment,622.0,1,0,1,1,0,1.0,180000.0,2025-02-11,Unit 304 - 312 15 Avenue NE ,Calgary ,Alberta,T2E 1H2,51.0662,-114.057,,1963.0,,621.0,Apartment ,"Baseboard, Hot Water, Natural Gas ",,False,,False,False,apartment-indicator,False
3242,26,4757939,Semi Detached (Half Duplex),Semi Detached (Half Duplex),Semi-Detached,1990.0,5,0,5,3,1,3.5,965000.0,2025-02-14,2424 6 Street NE ,Calgary ,Alberta,T2E 3Z1,51.074,-114.048,5995.0,2024.0,"Full, Separate/Exterior Entry ",,"2 Storey, Attached-Si ",Forced Air ,Rough-In ,False,,False,False,semi-detached-indicator,False
3244,26,4757939,Row/Townhouse,Row/Townhouse,Townhouse,1388.0,2,0,2,2,1,2.5,480000.0,2025-02-16,481 Regal Park NE ,Calgary ,Alberta,T2E 0S6,51.0611,-114.036,,2000.0,,,2 Storey ,"Forced Air, Natural Gas ",Central Air ,False,,False,False,townhouse-indicator,False
3248,26,4757939,Semi Detached (Half Duplex),Semi Detached (Half Duplex),Semi-Detached,1981.0,5,0,5,3,1,3.5,1015000.0,2025-02-19,1143 Richland Road NE ,Calgary ,Alberta,T2E 5M3,51.0626,-114.036,3003.0,2023.0,"Full, Separate/Exterior Entry ",946.0,"2 Storey, Attached-Si ","Forced Air, Natural Gas ",Rough-In ,False,,False,False,semi-detached-indicator,False
3249,26,4757939,Detached,Detached,Detached,972.0,4,0,4,2,0,2.0,732500.0,2025-02-19,824 9A Street NE ,Calgary ,Alberta,T2E 4L6,51.066,-114.035,6745.0,1951.0,Full ,,Bungalow ,"Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False
3272,26,4757939,Detached,Detached,Detached,924.0,5,0,5,2,0,2.0,685000.0,2025-02-28,1043 16 Street NE ,Calgary ,Alberta,T2E 4S7,51.0622,-114.022,5995.0,1959.0,"Full, Separate/Exterior Entry ",924.0,Bungalow ,Forced Air ,,False,,False,False,detached-indicator,False
3275,26,4757939,Row/Townhouse,Row/Townhouse,Townhouse,1081.0,2,0,2,1,0,1.0,420500.0,2025-03-03,376 Regal Park NE ,Calgary ,Alberta,T2E 0S6,51.0605,-114.033,,1954.0,"Full, Unfinished ",544.0,2 Storey ,Forced Air ,,False,,False,False,townhouse-indicator,False
3276,26,4757939,Detached,Detached,Detached,1024.0,3,0,3,2,0,2.0,809000.0,2025-03-04,220 20 Avenue NE ,Calgary ,Alberta,T2E 1P9,51.0708,-114.059,4654.0,1952.0,Full ,,Bungalow ,Forced Air ,,False,,False,False,detached-indicator,False
3279,26,4757939,Semi Detached (Half Duplex),Semi Detached (Half Duplex),Semi-Detached,1804.0,4,0,4,3,1,3.5,965000.0,2025-03-04,621 15 Avenue NE ,Calgary ,Alberta,T2E 1H9,51.0658,-114.049,3003.0,2014.0,Full ,860.0,"2 Storey, Attached-Si ",Central ,,False,,False,False,semi-detached-indicator,False
3311,26,4757939,Detached,Detached,Detached,1987.0,6,0,6,3,0,3.0,849000.0,2025-03-25,503 23 Avenue NE ,Calgary ,Alberta,T2E 1W3,51.0731,-114.052,6167.0,1996.0,Full ,1523.0,1 and Half Storey ,"Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False
3314,26,4757939,Row/Townhouse,Row/Townhouse,Townhouse,690.0,3,0,3,1,1,1.5,385000.0,2025-03-26,Unit 2 - 260 18 Avenue NE ,Calgary ,Alberta,T2E 1N2,51.069,-114.057,,2002.0,Full ,689.0,Bi-Level ,"Forced Air, Natural Gas ",,False,,False,False,townhouse-indicator,False
3319,26,4757939,Detached,Detached,Detached,1840.0,4,0,4,3,1,3.5,930000.0,2025-03-28,525B 25 Avenue NE ,Calgary ,Alberta,T2E 1Y6,51.0749,-114.052,2949.0,2014.0,Full ,891.0,2 Storey ,"Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False
3328,26,4757939,Detached,Detached,Detached,2671.0,5,0,5,3,1,3.5,1440000.0,2025-04-02,501 13a Street NE ,Calgary ,Alberta,T2E 4S4,51.0573,-114.03,4047.0,2025.0,Full ,,2 Storey ,Forced Air ,Central Air ,False,,False,False,detached-indicator,False
3345,26,4757939,Detached,Detached,Detached,2124.0,4,0,4,3,1,3.5,1175000.0,2025-04-11,467 22 Avenue NE ,Calgary ,Alberta,T2E 1T8,51.0722,-114.053,5468.0,2010.0,Full ,1051.0,2 Storey ,"In Floor, Forced Air, Natural Gas ",Central Air ,False,,False,False,detached-indicator,False
3357,26,4757939,Row/Townhouse,Row/Townhouse,Townhouse,1369.0,2,0,2,2,1,2.5,482000.0,2025-04-15,679 Regal Park NE ,Calgary ,Alberta,T2E 0S6,51.0619,-114.034,,2002.0,,673.0,2 Storey ,"Forced Air, Natural Gas ",Central Air ,False,,False,False,townhouse-indicator,False
3358,26,4757939,Detached,Detached,Detached,1440.0,2,0,2,1,0,1.0,645000.0,2025-04-15,411 20 Avenue NE ,Calgary ,Alberta,T2E 1R3,51.0704,-114.055,4682.0,1912.0,"Full, Partially Finished ",987.0,1 and Half Storey ,"Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False
