subject_id,comp_id,comp_index,condition,age_years,age_uncertainty,prop_type,city_province,lot_size_sqft,gla_sqft,bedrooms_main,bedrooms_additional,bedrooms_total,bathrooms_full,bathrooms_half,bathrooms_equivalent,sale_price,sale_date,has_lot_size_uncertainty,has_gla_uncertainty,has_additional_bedrooms
79,79_1,1,Average,22.0,True,Detached,Kitchener ON N2E 3P8,3150.0,1625.0,3,0,3,2,1,2.5,840000.0,2025-02-21,False,False,False
79,79_2,2,Fair,26.0,True,Detached,Kitchener ON N2N 3M3,3653.0,1453.0,3,0,3,1,1,1.5,660000.0,2025-01-02,False,False,False
80,80_0,0,Good,8.0,True,Condominium,Kingston ON K7K 0G6,,825.0,2,0,2,1,0,1.0,635000.0,2025-03-05,False,False,False
80,80_1,1,Fair,4.0,False,Condominium,Kingston ON K7L 1E5,,609.0,2,0,2,2,0,2.0,405000.0,2025-02-28,False,False,False
80,80_2,2,Fair,5.0,False,Condominium,Kingston ON K7K 4L9,,818.0,2,0,2,2,0,2.0,475000.0,2024-11-23,False,False,False
81,81_0,0,Good,8.0,True,Condominium,Kingston ON K7K 0G6,,825.0,2,0,2,1,0,1.0,635000.0,2025-03-05,False,False,False
81,81_1,1,Fair,4.0,False,Condominium,Kingston ON K7L 1E5,,609.0,2,0,2,2,0,2.0,405000.0,2025-02-28,False,False,False
81,81_2,2,Fair,5.0,False,Condominium,Kingston ON K7K 4L9,,818.0,2,0,2,2,0,2.0,475000.0,2024-11-23,False,False,False
82,82_0,0,Good,8.0,True,Condominium,Kingston ON K7K 0G6,,825.0,2,0,2,1,0,1.0,635000.0,2025-03-05,False,False,False
82,82_1,1,Fair,4.0,False,Condominium,Kingston ON K7L 1E5,,609.0,2,0,2,2,0,2.0,405000.0,2025-02-28,False,False,False
82,82_2,2,Fair,5.0,False,Condominium,Kingston ON K7K 4L9,,818.0,2,0,2,2,0,2.0,475000.0,2024-11-23,False,False,False
83,83_0,0,Average,35.0,False,Detached,Calgary AB T3K 3V8,6802.848,1788.0,3,0,3,2,1,2.5,760000.0,2025-04-11,False,False,False
83,83_1,1,Average,38.0,False,Detached,Calgary AB T3K 3M5,4004.2079999999996,1682.55,3,0,3,2,1,2.5,722500.0,2025-03-08,False,False,False
83,83_2,2,Good,33.0,False,Detached,Calgary AB T3K 4E5,6178.536,2100.0,3,0,3,2,1,2.5,888000.0,2025-04-10,False,False,False
84,84_0,0,Average,46.0,False,Detached,Airdrie AB T4A 1Y6,7674.732,1377.9,3,0,3,2,0,2.0,530000.0,2025-04-02,False,False,False
84,84_1,1,Average,42.0,False,Detached,Airdrie AB T4A 1V2,4908.384,1071.86,3,0,3,2,0,2.0,518000.0,2025-03-28,False,False,False
84,84_2,2,Excellent,46.0,False,Detached,Airdrie AB T4A 1Y7,5575.7519999999995,1085.91,3,0,3,2,0,2.0,565000.0,2025-02-25,False,False,False
85,85_0,0,Excellent,4.0,False,Detached,Loyalist,1306800.0,1844.0,3,1,4,2,0,2.0,830000.0,2025-01-03,True,False,True
85,85_1,1,Excellent,112.0,False,Detached,Newburgh ON K0K 2S0,500940.0,3790.0,5,0,5,2,1,2.5,890000.0,2025-04-04,True,False,False
85,85_2,2,Fair,141.0,False,Detached,Yarker ON K0K 3N0,257004.00000000003,2523.0,3,0,3,1,1,1.5,616000.0,2025-04-04,True,False,False
86,86_0,0,Excellent,50.0,True,Detached,East Garafraxa ON L9W 6B8,94525.2,1240.0,1,0,1,2,0,2.0,1375000.0,2025-04-02,False,False,False
86,86_1,1,Average,35.0,True,Detached,Hillsburgh ON N0B 1Z0,87120.0,1634.0,3,0,3,2,0,2.0,1490000.0,2025-02-09,False,False,False
86,86_2,2,Average,31.0,True,Detached,Belwood ON N0B 1J0,435600.0,1610.0,3,0,3,1,0,1.0,1150000.0,2024-11-20,False,False,False
87,87_0,0,Excellent,105.0,True,Detached,Kingston ON K7L 4V3,37897.2,814.0,2,0,2,1,1,1.5,435000.0,2024-11-20,True,False,False
87,87_1,1,Fair,60.0,True,Detached,Joyceville ON K0H 1Y0,439956.0,1350.0,3,0,3,1,0,1.0,349000.0,2024-11-18,True,False,False
87,87_2,2,Average,125.0,True,Detached,Kingston ON K7L 4V3,43560.0,984.0,2,1,3,1,0,1.0,400000.0,2024-10-04,True,False,True
